1 [80, 138, 144]
1 [56, 132, 42]
1 [56, 132, 4]
1 [56, 42, 4]
1 [132, 42, 4]
1 [3, 44, 70]
1 [3, 44, 134]
1 [3, 70, 134]
1 [44, 70, 134]
1 [80, 0, 138]
1 [80, 0, 48]
1 [80, 138, 48]
1 [0, 138, 48]
1 [97, 101, 149]
1 [97, 101, 13]
1 [97, 149, 13]
1 [101, 149, 13]
1 [95, 43, 158]
1 [95, 43, 119]
1 [95, 158, 119]
1 [43, 158, 119]
1 [51, 155, 117]
1 [51, 155, 135]
1 [51, 117, 135]
1 [155, 117, 135]
1 [112, 121, 20]
1 [112, 121, 69]
1 [112, 20, 69]
1 [121, 20, 69]
1 [112, 121, 130]
1 [112, 121, 20]
1 [112, 130, 20]
1 [121, 130, 20]
1 [72, 131, 157]
1 [72, 131, 30]
1 [72, 157, 30]
1 [131, 157, 30]
1 [120, 41, 51]
1 [120, 41, 72]
1 [120, 51, 72]
1 [41, 51, 72]
1 [88, 97, 13]
1 [88, 97, 101]
1 [88, 13, 101]
1 [97, 13, 101]
1 [68, 3, 44]
1 [68, 3, 134]
1 [68, 44, 134]
1 [3, 44, 134]
1 [129, 31, 149]
1 [129, 31, 81]
1 [129, 149, 81]
1 [31, 149, 81]
1 [0, 144, 138]
1 [0, 144, 87]
1 [0, 138, 87]
1 [144, 138, 87]
1 [26, 107, 139]
1 [26, 107, 159]
1 [26, 139, 159]
1 [107, 139, 159]
1 [57, 11, 148]
1 [57, 11, 71]
1 [57, 148, 71]
1 [11, 148, 71]
1 [128, 81, 58]
1 [128, 81, 31]
1 [128, 58, 31]
1 [81, 58, 31]
1 [152, 27, 83]
1 [152, 27, 124]
1 [152, 83, 124]
1 [27, 83, 124]
1 [108, 11, 148]
1 [108, 11, 53]
1 [108, 148, 53]
1 [11, 148, 53]
1 [136, 16, 91]
1 [136, 16, 44]
1 [136, 91, 44]
1 [16, 91, 44]
1 [81, 106, 132]
1 [81, 106, 4]
1 [81, 132, 4]
1 [106, 132, 4]
1 [40, 112, 69]
1 [40, 112, 8]
1 [40, 69, 8]
1 [112, 69, 8]
1 [160, 90, 67]
1 [160, 90, 7]
1 [160, 67, 7]
1 [90, 67, 7]
1 [128, 81, 106]
1 [128, 81, 4]
1 [128, 106, 4]
1 [81, 106, 4]
1 [9, 165, 158]
1 [9, 165, 61]
